type,term,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,discipline,outcome_type,regression_type
response,treat,Jan-00,-0.008330846,0.00055853,-14.91566768,2.61E-50,-0.009425544,-0.007236147,Physics,Citation Cascade NC,lm
response,treat,Jan-00,-4.769893772,0.211174392,-22.58746299,5.76E-113,-5.183787975,-4.355999569,Physics,Citation Cascade NC,100PercentLm
response,treat,Jan-00,-0.090764273,0.015059427,-6.02707361,1.67E-09,-0.120280207,-0.061248339,Physics,Citation Cascade SP,lm
response,treat,Jan-00,-1.25753576,0.148498746,-8.468325765,2.49E-17,-1.548587955,-0.966483565,Physics,Citation Cascade SP,100PercentLm
response,treat,Jan-00,-294.8389078,87.3069398,-3.377038623,0.000732708,-465.9573654,-123.7204501,Physics,Citation Cascade SP,Negative-binomial
response,treat,Jan-00,2.519371659,0.404038599,6.235472706,4.50E-10,1.727470556,3.311272762,Mathematics,10YearCitation,Zero-inflatedmodels
response,treat,Jan-00,-0.009327897,0.000370935,-25.14697569,1.53E-139,-0.010054917,-0.008600878,Mathematics,Reference Cascade NC,lm
response,treat,Jan-00,-13.88774407,0.40176093,-34.56718416,7.87E-262,-14.67518102,-13.10030712,Mathematics,Reference Cascade NC,100PercentLm
response,treat,Jan-00,0.388294603,0.015376791,25.25199245,1.08E-140,0.358156647,0.418432559,Mathematics,Reference Cascade SP,lm
response,treat,Jan-00,564.0101739,17.41115744,32.393606,3.38E-230,529.8849324,598.1354154,Mathematics,Reference Cascade SP,Negative-binomial
response,treat,Jan-00,11.20061199,0.299780292,37.3627363,1.57E-305,10.61305342,11.78817057,Mathematics,Reference Cascade SP,100PercentLm
response,treat,Jan-00,-0.02294213,0.000828672,-27.68541707,1.05E-168,-0.024566297,-0.021317963,Mathematics,Citation Cascade NC,lm
response,treat,Jan-00,-9.335994331,0.273921515,-34.08273472,1.33E-254,-9.872870635,-8.799118027,Mathematics,Citation Cascade NC,100PercentLm
response,treat,Jan-00,0.36643405,0.017226931,21.2709996,2.11E-100,0.332669885,0.400198215,Mathematics,Citation Cascade SP,lm
response,treat,Jan-00,4.688314519,0.208179106,22.52058144,2.61E-112,4.280290968,5.096338069,Mathematics,Citation Cascade SP,100PercentLm
response,treat,Jan-00,282.022592,33.53793857,8.409061619,4.13E-17,216.2894403,347.7557437,Mathematics,Citation Cascade SP,Negative-binomial
